objectid,mode,lineabbr,route,month_,year_,servicetype,stopname,stopabbrone,stopabbrtwo,avgboardings,avgalightings
165,Commuter Rail,750,FrontRunner,June,2017,SAT,Clearfield Station,FR301081,FR301081,300.166666700000007,271.083333299999993
166,Commuter Rail,750,FrontRunner,June,2017,SAT,Murray Central Station,FR198021,FR198021,678.916666700000064,707.333333300000049
167,Commuter Rail,750,FrontRunner,June,2017,SAT,Provo Central Station,FR801164,FR801164,842.000000000000000,986.916666700000064
168,Commuter Rail,750,FrontRunner,June,2017,WKD,American Fork Station,FR801160,FR801160,829.605139900000040,749.863282700000013
169,Commuter Rail,750,FrontRunner,June,2017,WKD,Orem Central Station,FR801163,FR801163,1077.387105999999903,1038.320635999999922
170,Commuter Rail,750,FrontRunner,June,2017,SAT,Woods Cross Station,FR301085,FR301085,244.750000000000000,238.500000000000000
171,Commuter Rail,750,FrontRunner,June,2017,WKD,Salt Lake Central Station,FR101393,FR101393,1885.801321000000144,2091.276675000000068
172,Commuter Rail,750,FrontRunner,June,2017,WKD,Woods Cross Station,FR301085,FR301085,558.535243600000058,509.904773599999999
173,Commuter Rail,750,FrontRunner,June,2017,WKD,Pleasant View Station,FR601083,FR601083,41.644110280000000,37.392264750000002
174,Commuter Rail,750,FrontRunner,June,2017,WKD,North Temple Station,FR198030,FR198030,2498.791218000000299,2518.842766000000211
175,Commuter Rail,750,FrontRunner,June,2017,SAT,American Fork Station,FR801160,FR801160,299.083333299999993,285.666666700000007
176,Commuter Rail,750,FrontRunner,June,2017,WKD,Murray Central Station,FR198021,FR198021,1741.783441999999923,1783.272502000000031
468,Commuter Rail,750,FrontRunner,April,2018,WKD,Lehi Station,FR801159,FR801159,1206.811774999999898,1143.290574999999990
177,Commuter Rail,750,FrontRunner,June,2017,WKD,Ogden Central Station,FR601084,FR601084,1323.411062000000129,1506.504891000000043
178,Commuter Rail,750,FrontRunner,June,2017,SAT,Farmington Station,FR301084,FR301084,525.666666700000064,543.416666700000064
179,Commuter Rail,750,FrontRunner,June,2017,WKD,Draper Station,FR198022,FR198022,720.809981600000015,696.339479399999959
180,Commuter Rail,750,FrontRunner,June,2017,WKD,Lehi Station,FR801159,FR801159,1172.624953000000005,1083.015735999999833
181,Commuter Rail,750,FrontRunner,June,2017,SAT,Ogden Central Station,FR601084,FR601084,842.583333300000049,885.250000000000000
182,Commuter Rail,750,FrontRunner,June,2017,SAT,North Temple Station,FR198030,FR198030,815.250000000000000,780.583333300000049
183,Commuter Rail,750,FrontRunner,June,2017,WKD,Clearfield Station,FR301081,FR301081,731.691026500000021,669.218970499999955
184,Commuter Rail,750,FrontRunner,June,2017,SAT,South Jordan Station,FR198023,FR198023,221.333333300000021,208.000000000000000
185,Commuter Rail,750,FrontRunner,June,2017,WKD,Farmington Station,FR301084,FR301084,760.739143000000013,752.061568000000079
186,Commuter Rail,750,FrontRunner,June,2017,WKD,Provo Central Station,FR801164,FR801164,1771.657093999999915,1793.904127999999901
187,Commuter Rail,750,FrontRunner,July,2017,SAT,South Jordan Station,FR198023,FR198023,220.714285700000005,198.285714299999995
188,Commuter Rail,750,FrontRunner,July,2017,WKD,Murray Central Station,FR198021,FR198021,1750.576178000000027,1755.479025000000092
189,Commuter Rail,750,FrontRunner,July,2017,SAT,Farmington Station,FR301084,FR301084,422.285714299999995,378.857142899999985
190,Commuter Rail,750,FrontRunner,July,2017,WKD,Lehi Station,FR801159,FR801159,1146.644103999999970,1064.500377999999955
191,Commuter Rail,750,FrontRunner,July,2017,WKD,Farmington Station,FR301084,FR301084,738.903601799999933,733.321695200000022
192,Commuter Rail,750,FrontRunner,July,2017,WKD,Salt Lake Central Station,FR101393,FR101393,1880.699791999999889,2091.852679000000080
193,Commuter Rail,750,FrontRunner,July,2017,WKD,American Fork Station,FR801160,FR801160,832.251921599999946,731.562018400000056
194,Commuter Rail,750,FrontRunner,July,2017,WKD,Layton Station,FR301082,FR301082,743.614535300000057,700.311658800000032
195,Commuter Rail,750,FrontRunner,July,2017,SAT,Orem Central Station,FR801163,FR801163,382.714285700000005,365.142857100000015
196,Commuter Rail,750,FrontRunner,July,2017,SAT,Draper Station,FR198022,FR198022,168.428571400000010,140.714285700000005
197,Commuter Rail,750,FrontRunner,July,2017,WKD,Provo Central Station,FR801164,FR801164,1753.582503000000088,1846.766049000000066
198,Commuter Rail,750,FrontRunner,July,2017,WKD,Pleasant View Station,FR601083,FR601083,33.558436530000002,35.546891119999998
199,Commuter Rail,750,FrontRunner,July,2017,SAT,Murray Central Station,FR198021,FR198021,596.857142899999985,590.714285700000005
200,Commuter Rail,750,FrontRunner,July,2017,SAT,North Temple Station,FR198030,FR198030,732.714285700000005,670.714285700000005
201,Commuter Rail,750,FrontRunner,July,2017,WKD,Roy Station,FR601085,FR601085,447.823164500000019,418.861839099999997
202,Commuter Rail,750,FrontRunner,July,2017,SAT,Clearfield Station,FR301081,FR301081,258.857142899999985,257.428571400000010
203,Commuter Rail,750,FrontRunner,July,2017,WKD,Ogden Central Station,FR601084,FR601084,1240.264546999999993,1387.665382999999792
204,Commuter Rail,750,FrontRunner,July,2017,SAT,Lehi Station,FR801159,FR801159,279.714285700000005,287.000000000000000
205,Commuter Rail,750,FrontRunner,July,2017,WKD,Clearfield Station,FR301081,FR301081,754.964954599999942,702.264201799999910
206,Commuter Rail,750,FrontRunner,July,2017,SAT,Ogden Central Station,FR601084,FR601084,705.714285700000005,708.857142899999985
207,Commuter Rail,750,FrontRunner,July,2017,SAT,Layton Station,FR301082,FR301082,276.714285700000005,276.000000000000000
208,Commuter Rail,750,FrontRunner,July,2017,WKD,Draper Station,FR198022,FR198022,691.917925200000013,671.386578699999973
209,Commuter Rail,750,FrontRunner,July,2017,WKD,North Temple Station,FR198030,FR198030,2444.006186999999954,2432.846066000000064
210,Commuter Rail,750,FrontRunner,July,2017,SAT,Salt Lake Central Station,FR101393,FR101393,814.571428599999990,798.000000000000000
211,Commuter Rail,750,FrontRunner,July,2017,SAT,Provo Central Station,FR801164,FR801164,857.428571400000010,1045.857142999999951
212,Commuter Rail,750,FrontRunner,July,2017,SAT,Roy Station,FR601085,FR601085,194.142857099999986,185.142857099999986
213,Commuter Rail,750,FrontRunner,July,2017,WKD,Woods Cross Station,FR301085,FR301085,534.049549800000023,501.851424900000040
214,Commuter Rail,750,FrontRunner,July,2017,SAT,American Fork Station,FR801160,FR801160,228.285714299999995,220.428571400000010
215,Commuter Rail,750,FrontRunner,July,2017,SAT,Woods Cross Station,FR301085,FR301085,201.571428600000019,217.285714299999995
216,Commuter Rail,750,FrontRunner,July,2017,WKD,Orem Central Station,FR801163,FR801163,1072.897431999999981,1010.463202000000024
217,Commuter Rail,750,FrontRunner,July,2017,WKD,South Jordan Station,FR198023,FR198023,719.783878500000014,701.396611200000052
218,Commuter Rail,750,FrontRunner,August,2017,SAT,South Jordan Station,FR198023,FR198023,246.500000000000000,232.250000000000000
219,Commuter Rail,750,FrontRunner,August,2017,SAT,Orem Central Station,FR801163,FR801163,436.500000000000000,449.250000000000000
220,Commuter Rail,750,FrontRunner,August,2017,WKD,Clearfield Station,FR301081,FR301081,827.028445000000033,785.894610299999954
