Stop,Ridership,Downtown
300 W @ 701 N,10,0
900 E / 5800 S,10,0
500 E / Cleveland Ave,10,0
Highland Dr @ 8887 S,10,0
Foothill Dr / Hubbard Ave,10,0
State St @ 5200 S,9,0
State St @ 6300 S,9,0
3900 S @ 612 W,9,0
State St @ 1385 S,9,0
5400 S / 1070 W,9,0
2300 E @ 4510 S,9,0
4000 W @ 5865 S,9,0
STATE ST @ 575 S,9,0
3300 S @ 80 W,9,0
800 W / 800 S,9,0
900 W / 3300 S,9,0
3100 S / 8950 W,9,0
Magna Main St / 8700 W,9,0
State St @ 4068 S,9,0
Lodestone Ave / 5625 W,9,0
Redwood Road @ 4602 S,9,0
Redwood Rd / 3300 S,9,0
3200 W @ 4061 S,9,0
5600 W @ 4238 S,9,0
900 E / Scott Ave,9,0
Redwood Rd @ 8936 S,9,0
Union Park Ave @ 7184 S,9,0
8400 W / Robin St,9,0
Highland Dr @ 2907 S,9,0
300 W / Paxton Ave,9,0
900 E / 4400 S,9,0
Greenwood Ter / 900 S,9,0
Redwood Rd / 8000 S,9,0
Redwood Rd / 3650 S,9,0
3900 S @ 2225 E,9,0
900 S / 1400 E,9,0
Magna Main St / 8800 W,9,0
1300 E @ 1633 S,9,0
6200 S @ 3690 W,9,0
500 E / 4050 S,9,0
500 E / 4200 S,9,0
5600 W / 6200 S,9,0
Fort Union Blvd @ 910 E,9,0
1300 E @ 4550 S,9,0
Murray Blvd / Vine St,9,0
South Union Ave @ 1092 E,9,0
1300 E @ 1749 S,9,0
Meadowbrook Expwy @ 950 W,9,0
Pioneer Rd / 1700 S,9,0
900 W / 2000 S,9,0
5400 S / Ridgecrest Dr,8,0
4700 S @ 2750 W,8,0
3900 S @ 201 E,8,0
State St @ 8385 S,8,0
Redwood Rd / Crystal Ridge,8,0
Copper City Dr / Plumbago Ave,8,0
Winchester St / 800 E,8,0
3300 S @ 1001 E,8,0
4100 S @ 4016 W,8,0
2300 E @ 4657 S,8,0
State St @ 503 S,8,0
1000 E @ 7778 S,8,0
State St @ 6150 S,8,0
Redwood Rd @ 1125 S,8,0
Redwood Rd / 300 N,8,0
900 W / 900 S,8,0
2100 S / 2000 E,8,0
South Union Ave @ 1165 E,8,0
3500 S / 4600 W,8,0
900 E / 3700 S,8,0
Redwood Rd @ 2327 S,8,0
900 W / Fremont Ave,8,0
Guardsman Way / Sunnyside Ave,8,0
9000 S @ 3898 W,8,0
900 E / 3385 S,8,0
700 W / 3500 S,8,0
Meadowbrook Expwy @ 1150 W,8,0
Redwood Rd @ 1506 S,8,0
Bruin Blvd @ 2090 W,8,0
Jordan Landing Blvd @ 7661 S,8,0
9th Ave / I St,8,0
9th Ave / E St,8,0
500 E / Lambourne Ave,8,0
2200 W @ 3874 S,8,0
State St @ 5615 S,8,0
900 S / Amanda Ave,8,0
Highland Dr @ 4675 S,8,0
Highland Dr @ 6271 S,8,0
1300 E @ 1335 S,8,0
900 E / 4125 S,8,0
State St @ 2547 S,8,0
1700 S @ 116 E,8,0
Redwood Rd @ 4070 S,8,0
State St @ 4824 S,8,0
Redwood Rd @ 8001 S,8,0
600 N / 1300 W,8,0
Highland Dr @ 8633 S,8,0
500 E / Farmer Alumni Dr,8,0
3800 S @ 2311 W,8,0
State St @ 4930 S,8,0
900 W / 1750 S,8,0
3900 S @ 3077 E,8,0
8400 W / 3100 S,7,0
Gregson Ave @ 111 W,7,0
Highland Dr @ 4175 S,7,0
9th Ave / L St,7,0
Highland Dr @ 8089 S,7,0
Atherton Dr @ 1025 W,7,0
300 W / Fayette Ave,7,0
1300 E @ 4389 S,7,0
