Stop,Ridership,Downtown
Redwood Rd / 4700 S,24,0
900 E / 3800 S,24,0
200 E / 150 S,23,1
State St @ 3063 S,23,0
Harold Gatty Dr @ 5575 W,23,0
900 E / 5400 S,23,0
Atherton Dr @ 834 W,23,0
900 E / Winchester St,23,0
State St @ 3980 S,23,0
2100 E / Laird Ave,23,0
State St @ 777 S,23,0
Redwood Rd / 800 N,23,0
9000 S @ 810 E,23,0
3600 W / 3100 S,23,0
Fort Union Blvd @ 1991 E,23,0
400 W / 300 S,22,1
Navajo St / 500 S,22,0
5400 S / 5160 W,22,0
Winchester St / 300 E,22,0
900 W / 500 N,22,0
900 W / 400 N,22,0
State St @ 3094 S,22,0
Magna Post Office,22,0
State St @ 857 S,22,0
Meadowbrook Expwy @ 831 W,22,0
Redwood Rd / 1500 S,22,0
Cottonwood Corporate Center,22,0
500 E / 800 S,22,0
State St / 700,22,0
Meadowbrook Expwy. @ 1320 W,22,0
600 N / 900 W,22,0
1300 E @ 5755 S,22,0
2100 E / St. Mary's Dr,22,0
1300 S / 700 W,21,0
Highland Dr @ 7069 S,21,0
5400 S / Hew Wood Dr,21,0
3900 S @ 298 E,21,0
Highland Dr / Simpson Ave,21,0
North Temple / Main St,20,1
5400 S / 4620 W,20,0
Atherton Dr @ 4435 S,20,0
C St / 8th Ave,20,0
E St / 5th Ave,20,0
800 W / 700 S,20,0
1300 W / Wasatch Ave,20,0
900 W / 300 N,20,0
Foothill Dr @ 1707 S,20,0
5400 S / 3600 W,20,0
900 W / 3400 S,20,0
1300 E @ 3315 S,20,0
900 E / Eastgate Rd,20,0
6200 S @ 3709 W,20,0
Foothill Dr @ 1527 S,20,0
3900 S @ 401 E,20,0
200 S / Rio Grande St,19,1
Foothill Dr @ 1325 S,19,0
1000 N / 1200 W,19,0
3500 S / Callao Dr,19,0
4800 West Station,19,0
4700 S @ 2691 W,19,0
4700 S @ 3587 W,19,0
4500 S @ 930 E,19,0
900 E / Charlton Cir,19,0
900 W / 1650 S,19,0
3500 S / 4300 W,19,0
Highland Dr @ 3233 S,19,0
2100 S / Main St,19,0
Lodestone Ave / Copper City Dr,19,0
Foothill Dr @ 2135 S,18,0
Fort Union Blvd @ 985 E,18,0
Carlisle St / 700 W,18,0
500 E / 2700 S,18,0
3600 W / Parkway Blvd,18,0
400 S @ 918 W,18,0
State St @ 604 S,18,0
3500 S / 1500 W,18,0
Redwood Rd / 4075 S,18,0
Bruin Blvd @ 2101 W,18,0
State St @ 1925 S,18,0
North Temple / 150 W,17,1
5400 S / 4420 W,17,0
900 E / Hillview Dr,17,0
300 W / 400 N,17,0
600 N / 1400 W,17,0
900 E / Browning Ave,17,0
1300 E @ 3310 S,17,0
900 S / Main St,17,0
State St @ 1050 S,17,0
Redwood Rd @ 10341 S,17,0
500 E / 700 S,17,0
500 E / Herbert Ave,17,0
1300 S / 400 W,17,0
State St @ 1791 S,17,0
Fort Union Blvd @ 1338 E,17,0
Highland Dr @ 9265 S,17,0
900 S / Richards St,16,0
E St / 6th Ave,16,0
400 S / 700 E,16,0
Redwood Rd / 3300 S,16,0
3100 S / 9100 W,16,0
5400 S / Cougar Ln,16,0
Winchester St / 700 E,16,0
4700 S @ 4855 W,16,0
3900 S @ 677 E,16,0
Redwood Rd / 3650 S,16,0
